facility_id,name,fuel,state,lat,lon
REECE,Reece,hydro,TA,-41.723131,145.136468
REMOUNT,Remount,bioenergy_biogas,TA,-41.398447,147.1495
REPULSE,Repulse,hydro,TA,-42.507987,146.64717
RESS,Riverina 1,battery_charging,NS,-34.646668,146.034982
RIVNB,Riverina 2,battery_charging,NS,-34.646624,146.035025
ROCHEDAL,Rochedale,bioenergy_biogas,QL,-27.555798,153.123155
ROMA,Roma,gas_ocgt,QL,-26.576788,148.839485
ROWALLAN,Rowallan,hydro,TA,-41.72957,146.218087
ROYALLA,Royalla,solar_utility,NS,-35.486052,149.141966
RPCG,Rocky Point Cogen,bioenergy_biomass,QL,-27.733564,153.326464
RRSF,Ross River,solar_utility,QL,-19.425305,146.715686
RUBICON,Rubicon,hydro,VI,-37.292453,145.818202
RUGBYR,Rugby Run,solar_utility,QL,-21.940469,147.880877
RYANCWF,Ryan Corner,wind,VI,-38.271156,142.14003
RYEPARK,Rye Park,wind,NS,-34.63317,148.95364
SALTCRK,Salt Creek,wind,VI,-37.918698,142.796027
SAPHWF1,Sapphire,wind,NS,-29.710273,151.44558
SATGN,Temporary Generation North,distillate,SA,-34.719707,138.668425
SATGS,Temporary Generation South,distillate,SA,-35.096799,138.483997
SEBSF,Sebastopol,solar_utility,NS,-34.603287,147.554757
SHEP1,Shepparton,bioenergy_biogas,VI,-36.322223,145.379291
SHOAL,Shoalhaven Starches,gas_ocgt,NS,-34.8547,150.6138
SHOALHAV,Shoalhaven,pumps,NS,-34.733085,150.4667
SITHE,Smithfield,gas_ccgt,NS,-33.850023,150.950051
SKSF,South Keswick,solar_utility,NS,-32.27286,148.649836
SLDCBLK,St Leonards Data Centre,battery_charging,TA,-41.440151,147.174429
SMCSF,Sun Metals,solar_utility,QL,-19.437318,146.696015
SMTHBES1,Smithfield,battery_charging,NS,-33.849972,150.947448
SNAPPER,Snapper Point,gas_ocgt,SA,-34.76452,138.50819
SNB1,Supernode,battery_discharging,QL,-27.458521,153.111745
SNOWNTH,Snowtown North,wind,SA,-33.756479,138.143043
SNOWSTH,Snowtown South,wind,SA,-33.862624,138.130367
SNOWTOWN,Snowtown,wind,SA,-33.691598,138.166022
SNOWY2,Tumut,hydro,NS,-35.953492,148.369693
SNOWY3,Guthega,hydro,NS,-36.349772,148.41403
SNOWY6,Blowering,hydro,NS,-35.397402,148.247225
SNUG,Snuggery,distillate,SA,-37.664996,140.414686
SNWYGJP2,Jindabyne Pump At Guthega,pumps,NS,-36.434918,148.63057
SRSF,Susan River,solar_utility,QL,-25.420275,152.742028
STANVAC,Port Stanvac,distillate,SA,-35.110345,138.490872
STANWELL,Stanwell,coal_black,QL,-23.507501,150.317884
STAPYLTON,Stapylton,bioenergy_biogas,QL,-27.736111,153.245931
STARFHILL,Starfish Hill,wind,SA,-35.578983,138.139653
STGEORGE,St George Leagues Club,distillate,NS,-33.974819,151.129354
STHBKTEC,Southbank Institute Of Technology,distillate,QL,-27.480589,153.020999
STOCKYD,Stockyard Hill,wind,VI,-37.53568,143.252548
STUBSF,Stubbo,solar_utility,NS,-32.26254,149.589068
STWF,Silverton,wind,NS,-31.86095,141.296349
SUNRSF1,Sunraysia,solar_utility,NS,-34.821489,143.50916
SUNTPSF,Suntop,solar_utility,NS,-32.5742,148.860469
SVALE,Springvale,bioenergy_biogas,VI,-37.973375,145.139695
SWAN_B,Swanbank B,gas_ocgt,QL,-27.655286,152.818644
SWAN_E,Swanbank E,gas_ccgt,QL,-27.655286,152.818644
TABMILL2,Tableland Mill,bioenergy_biomass,QL,-17.119813,145.34513
TAHMOOR,Tahmoor,gas_wcmg,NS,-34.249117,150.577718
TALLAWAR,Tallawarra,gas_ccgt,NS,-34.523089,150.808566
TALWB,Tallawarra B,gas_ocgt,NS,-34.524833,150.806579
TARALGA,Taralga,wind,NS,-34.425387,149.859603
TARONG,Tarong,coal_black,QL,-26.774397,151.917838
TARONGN,Tarong North,coal_black,QL,-26.774397,151.917838
TARRALEA,Tarraleah,hydro,TA,-42.301736,146.456661
TATIARA,Tataria,distillate,SA,-36.326977,140.737035
TATURA,Tatura,bioenergy_biogas,VI,-36.47915,145.235037
TB2SF,Tailem Bend 2,battery,SA,-35.28,139.49
TBSF,Tailem Bend,solar_utility,SA,-35.28,139.49
TEMPB,Templers,battery,SA,-34.464594,138.77013
TERALBA,Teralba,gas_wcmg,NS,-32.945557,151.612042
TERMSTOR,Terminal,hydro,SA,-34.84014,138.712137
TGNSS,Traralgon Network Support,gas_recip,VI,-37.833513,144.965955
THEDROP,The Drop,hydro,NS,-35.973527,145.999274
TIB,Torrens Island,battery,SA,-34.805831,138.524192
TIMWEST,Timboon West,wind,VI,-38.528351,142.916231
TITREE,Veolia Ti Tree,bioenergy_biogas,QL,-27.695551,152.650313
TOORAWF,Toora,wind,VI,-38.653528,146.339774
TORRIS,Torrens Island,gas_steam,SA,-34.804559,138.522229
TOWER,Tower,gas_wcmg,NS,-34.219461,150.718012
TREVALLN,Trevallyn,hydro,TA,-41.422302,147.112025
TRIBUTE,Tribute,hydro,TA,-41.811468,145.653252
TULLYSM,Tully Sugar Mill,bioenergy_biomass,QL,-17.937329,145.92739
TUMUT3,Tumut 3,pumps,NS,-35.610817,148.292644
TUNGATIN,Tungatinah,hydro,TA,-42.296396,146.455881
TVCCPS,Tamar Valley,gas_ccgt,TA,-41.139268,146.906185
ULBESS,Ulinda Park,battery_charging,QL,-26.92635,150.717472
URANQ,Uranquinty,gas_ocgt,NS,-35.180226,147.21566
VALDORA,Sunshine Coast,solar_utility,QL,-26.560799,153.025947
VBB,Victorian Big Battery,battery_discharging,VI,-38.03828,144.291003
VICMILL,Victoria Mill,bioenergy_biomass,QL,-18.650208,146.200866
VP,Vales Point B,coal_black,NS,-33.164639,151.544116
VPGS,Valley Power Peaking,gas_ocgt,VI,-38.252601,146.588906
WAGGNSF,Wagga North,solar_utility,NS,-35.069081,147.438227
WALGRV,Wallgrove,battery,NS,-33.817476,150.827276
WANDBG,Wandoan South,battery_charging,QL,-26.263986,149.772871
WANDSF,Wandoan,solar_utility,QL,-26.263564,149.772243
WARWSF,Warwick,solar_utility,QL,-28.18321,152.066792
WATERLWF,Waterloo,wind,SA,-33.991095,138.915723
WAUBRAWF,Waubra,wind,VI,-37.357979,143.5926
WDBESS,Western Downs,battery,QL,-26.952008,150.694188
WDBESS2,Western Downs 2,battery,QL,-26.951989,150.694141
WDGPH,Western Downs,solar_utility,QL,-26.927922,150.601542
WDLNGN,Woodlawn,bioenergy_biogas,NS,-35.05928,149.5749
WELLSF1,Wellington,solar_utility,NS,-32.5207,148.9675
WELNSF,Wellington North,solar_utility,NS,-32.514353,148.957634
WEMENSF1,Wemen,solar_utility,VI,-34.80259,142.543348
WESTCBT,Western Suburbs League Club,distillate,NS,-34.051073,150.832757
WESTILLA,West Illawarra Leagues Club,distillate,NS,-34.451645,150.843037
WG,Warragamba,hydro,NS,-33.883064,150.595436
WGWF,Willogoleche,wind,SA,-33.393569,138.84821
WHIT1,Whitwood Road,bioenergy_biogas,QL,-27.620454,152.824409
WHITSF,Whitsunday,solar_utility,QL,-20.537259,147.80475
WILGAPK,Wilga Park,gas_recip,NS,-30.314444,149.652768
WILGAPKB,Wilga Park B,gas_recip,NS,-30.314444,149.652768
WILLHOV,William Hovel,hydro,VI,-36.925216,146.389418
WINDHILL,Windy Hill,wind,QL,-17.590399,145.52968
WINGF1,Wingfield,bioenergy_biogas,SA,-34.835138,138.548949
WINGF2,Wingfield 2,bioenergy_biogas,SA,-34.835138,138.548949
WINTSF1,Winton,solar_utility,VI,-36.499695,146.114554
WIVENHOE,Wivenhoe,pumps,QL,-27.372224,152.632362
WIVENSH,Wivenhoe,hydro,QL,-27.394592,152.609237
WKIEWA,West Kiewa,hydro,VI,-36.759674,147.186082
WLWLSF,Walla Walla,solar_utility,NS,-35.746481,146.961838
WNSF,Wangaratta,solar_utility,VI,-36.326757,146.359901
WOLARSF,Wollar,solar_utility,NS,-32.407631,149.940737
WOLLERT,Wollert,bioenergy_biogas,VI,-37.591792,145.043033
WONWP,Wonthaggi,wind,VI,-38.60513,145.546292
WOODLWN,Woodlawn,wind,NS,-35.081675,149.570511
WOOLGSF,Woolooga,solar_utility,QL,-26.084522,152.441226
WOOLNTH1,Woolnorth,wind,TA,-40.736375,144.694821
WOYWOY,Woy Woy,bioenergy_biogas,NS,-33.506914,151.291606
WPWF,Wattle Point,wind,SA,-35.11541,137.718672
WRSF1,White Rock Solar Farm,solar_utility,NS,-29.763292,151.552402
WRWF1,White Rock Wind Farm,wind,NS,-29.7718,151.5755
WSTWYSF,West Wyalong,solar_utility,NS,-33.795635,147.314545
WTAHB,Waratah Super Battery,battery,NS,-33.209781,151.544911
WUNUSF,Wunghnu,solar_utility,VI,-36.164387,145.403731
WW,Wallerawang,coal_black,NS,-33.403889,150.084444
WYANGALA,Wyangala A,hydro,NS,-33.980371,148.947377
WYANGALB,Wyangala B,hydro,NS,-33.980371,148.947377
WYASF,Wyalong,solar_utility,NS,-33.804939,147.295155
WYNDW,Wyndham,bioenergy_biogas,VI,-37.935372,144.5898
YABULU,Townsville,gas_ccgt,QL,-19.200374,146.618265
YALLOURN,Yallourn W,coal_brown,VI,-38.177596,146.347508
YAMBUK,Yambuk,wind,VI,-38.305278,142.018439
YARANSF,Yarranlea,solar_utility,QL,-27.708939,151.532696
YARWUN,Yarwun,gas_ccgt,QL,-23.8302,151.149692
YATSF1,Yatpool,solar_utility,VI,-34.38073,142.20534
YAWWF,Yawong,wind,VI,-36.471022,143.361722
YENDONWF,Yendon,wind,VI,-37.630952,144.022463
YSWF,Yaloak South,wind,VI,-37.716474,144.241947
YWNGAHYD,Yarrawonga,hydro,VI,-36.009466,145.999568
