facility_id,ts_event,ts_ingest,power_mw,energy_mwh,emissions_t,demand_mw,price_per_mwh,name,fuel,state,lat,lon
0MREH,2025-10-05T00:00:00,2025-11-07T16:10:05.880955,-1.0848,-0.0904,0.0,,,Melbourne A1,battery_discharging,VI,-37.661274,144.726302
0MREH,2025-10-05T00:05:00,2025-11-07T16:10:05.880955,-1.0308000000000002,-0.0859,0.0,,,Melbourne A1,battery_discharging,VI,-37.661274,144.726302
0MREH,2025-10-05T00:10:00,2025-11-07T16:10:05.880955,0.2076,0.0173,0.0,,,Melbourne A1,battery_discharging,VI,-37.661274,144.726302
0MREH,2025-10-05T00:15:00,2025-11-07T16:10:05.880955,1.1988,0.0999,0.0,,,Melbourne A1,battery_discharging,VI,-37.661274,144.726302
0MREH,2025-10-05T00:20:00,2025-11-07T16:10:05.880955,-0.5424,-0.0452,0.0,,,Melbourne A1,battery_discharging,VI,-37.661274,144.726302
0MREH,2025-10-05T00:25:00,2025-11-07T16:10:05.880955,-0.16080000000000003,-0.0134,0.0,,,Melbourne A1,battery_discharging,VI,-37.661274,144.726302
0MREH,2025-10-05T00:30:00,2025-11-07T16:10:05.880955,-0.9768,-0.0814,0.0,,,Melbourne A1,battery_discharging,VI,-37.661274,144.726302
0MREH,2025-10-05T00:35:00,2025-11-07T16:10:05.880955,-0.2076,-0.0173,0.0,,,Melbourne A1,battery_discharging,VI,-37.661274,144.726302
0MREH,2025-10-05T00:40:00,2025-11-07T16:10:05.880955,0.8964000000000001,0.0747,0.0,,,Melbourne A1,battery_discharging,VI,-37.661274,144.726302
0MREH,2025-10-05T00:45:00,2025-11-07T16:10:05.880955,-0.5424,-0.0452,0.0,,,Melbourne A1,battery_discharging,VI,-37.661274,144.726302
0MREH,2025-10-05T00:50:00,2025-11-07T16:10:05.880955,-0.26880000000000004,-0.0224,0.0,,,Melbourne A1,battery_discharging,VI,-37.661274,144.726302
0MREH,2025-10-05T00:55:00,2025-11-07T16:10:05.880955,0.2076,0.0173,0.0,,,Melbourne A1,battery_discharging,VI,-37.661274,144.726302
0MREH,2025-10-05T01:00:00,2025-11-07T16:10:05.880955,-0.5424,-0.0452,0.0,,,Melbourne A1,battery_discharging,VI,-37.661274,144.726302
0MREH,2025-10-05T01:05:00,2025-11-07T16:10:05.880955,-0.5424,-0.0452,0.0,,,Melbourne A1,battery_discharging,VI,-37.661274,144.726302
0MREH,2025-10-05T01:10:00,2025-11-07T16:10:05.880955,0.8628000000000001,0.0719,0.0,,,Melbourne A1,battery_discharging,VI,-37.661274,144.726302
0MREH,2025-10-05T01:15:00,2025-11-07T16:10:05.880955,-0.5424,-0.0452,0.0,,,Melbourne A1,battery_discharging,VI,-37.661274,144.726302
0MREH,2025-10-05T01:20:00,2025-11-07T16:10:05.880955,-0.5424,-0.0452,0.0,,,Melbourne A1,battery_discharging,VI,-37.661274,144.726302
0MREH,2025-10-05T01:25:00,2025-11-07T16:10:05.880955,-0.9264000000000001,-0.0772,0.0,,,Melbourne A1,battery_discharging,VI,-37.661274,144.726302
0MREH,2025-10-05T01:30:00,2025-11-07T16:10:05.880955,-1.3356000000000001,-0.1113,0.0,,,Melbourne A1,battery_discharging,VI,-37.661274,144.726302
0MREH,2025-10-05T01:35:00,2025-11-07T16:10:05.880955,0.2916,0.0243,0.0,,,Melbourne A1,battery_discharging,VI,-37.661274,144.726302
0MREH,2025-10-05T01:40:00,2025-11-07T16:10:05.880955,-0.9396,-0.0783,0.0,,,Melbourne A1,battery_discharging,VI,-37.661274,144.726302
0MREH,2025-10-05T01:45:00,2025-11-07T16:10:05.880955,0.7524000000000001,0.0627,0.0,,,Melbourne A1,battery_discharging,VI,-37.661274,144.726302
0MREH,2025-10-05T01:50:00,2025-11-07T16:10:05.880955,-0.9,-0.075,0.0,,,Melbourne A1,battery_discharging,VI,-37.661274,144.726302
0MREH,2025-10-05T01:55:00,2025-11-07T16:10:05.880955,0.5844,0.0487,0.0,,,Melbourne A1,battery_discharging,VI,-37.661274,144.726302
0MREH,2025-10-05T02:00:00,2025-11-07T16:10:05.880955,-1.9607999999999999,-0.1634,0.0,,,Melbourne A1,battery_discharging,VI,-37.661274,144.726302
0MREH,2025-10-05T02:05:00,2025-11-07T16:10:05.880955,-0.5424,-0.0452,0.0,,,Melbourne A1,battery_discharging,VI,-37.661274,144.726302
0MREH,2025-10-05T02:10:00,2025-11-07T16:10:05.880955,1.0812000000000002,0.0901,0.0,,,Melbourne A1,battery_discharging,VI,-37.661274,144.726302
0MREH,2025-10-05T02:15:00,2025-11-07T16:10:05.880955,-0.5424,-0.0452,0.0,,,Melbourne A1,battery_discharging,VI,-37.661274,144.726302
0MREH,2025-10-05T02:20:00,2025-11-07T16:10:05.880955,0.15480000000000002,0.0129,0.0,,,Melbourne A1,battery_discharging,VI,-37.661274,144.726302
0MREH,2025-10-05T02:25:00,2025-11-07T16:10:05.880955,-0.5424,-0.0452,0.0,,,Melbourne A1,battery_discharging,VI,-37.661274,144.726302
0MREH,2025-10-05T02:30:00,2025-11-07T16:10:05.880955,-1.0536,-0.0878,0.0,,,Melbourne A1,battery_discharging,VI,-37.661274,144.726302
0MREH,2025-10-05T02:35:00,2025-11-07T16:10:05.880955,-0.5424,-0.0452,0.0,,,Melbourne A1,battery_discharging,VI,-37.661274,144.726302
0MREH,2025-10-05T02:40:00,2025-11-07T16:10:05.880955,0.5904,0.0492,0.0,,,Melbourne A1,battery_discharging,VI,-37.661274,144.726302
0MREH,2025-10-05T02:45:00,2025-11-07T16:10:05.880955,-0.5424,-0.0452,0.0,,,Melbourne A1,battery_discharging,VI,-37.661274,144.726302
0MREH,2025-10-05T02:50:00,2025-11-07T16:10:05.880955,-0.5424,-0.0452,0.0,,,Melbourne A1,battery_discharging,VI,-37.661274,144.726302
0MREH,2025-10-05T02:55:00,2025-11-07T16:10:05.880955,-0.5424,-0.0452,0.0,,,Melbourne A1,battery_discharging,VI,-37.661274,144.726302
0MREH,2025-10-05T03:00:00,2025-11-07T16:10:05.880955,-0.2148,-0.0179,0.0,,,Melbourne A1,battery_discharging,VI,-37.661274,144.726302
0MREH,2025-10-05T03:05:00,2025-11-07T16:10:05.880955,-1.0368000000000002,-0.0864,0.0,,,Melbourne A1,battery_discharging,VI,-37.661274,144.726302
0MREH,2025-10-05T03:10:00,2025-11-07T16:10:05.880955,0.27480000000000004,0.0229,0.0,,,Melbourne A1,battery_discharging,VI,-37.661274,144.726302
0MREH,2025-10-05T03:15:00,2025-11-07T16:10:05.880955,-0.5184000000000001,-0.0432,0.0,,,Melbourne A1,battery_discharging,VI,-37.661274,144.726302
0MREH,2025-10-05T03:20:00,2025-11-07T16:10:05.880955,0.26880000000000004,0.0224,0.0,,,Melbourne A1,battery_discharging,VI,-37.661274,144.726302
