status,facility_id,name,state,fuel,capacity_mw,latitude,longitude
accredited,ACC_SRPYNS76,Scalabrini Chipping Norton - Solar w SGU - NSW,NSW,Solar,0.335,-33.922711,150.951090
accredited,ACC_SRPXQLH1,Woolworths Darra 2695 - Solar - QLD,QLD,Solar,0.25,-27.507006,153.068285
accredited,ACC_SRPXQLH4,Woolworths Ingham 2723 - Solar - QLD,QLD,Solar,0.275,-27.410442,151.654836
accredited,ACC_SRPVSAZ1,Woolworths Seaford 5646 - Solar - SA,SA,Solar,0.275,-35.015228,138.559618
accredited,ACC_SRPYNS28,MNCLHD Coffs Harbour Health Campus - Solar w SGU - NSW,NSW,Solar,1.323,-28.523500,151.976200
accredited,ACC_SRPYNS61,Tip Top Chullora - Solar - NSW,NSW,Solar,2.018,-33.755819,150.957993
accredited,ACC_SRPXQLC4,OZLEMFOODSWA-SOLAR w SGU-QLD,QLD,Solar,0.443,-27.541981,153.079185
accredited,ACC_SRPXVCP3,Somerville Gardens Care Community - Solar w SGU - VIC,VIC,Solar,0.24,-37.754520,144.980727
accredited,ACC_SRPXVCK5,Big W Mildura 560 - Solar - VIC,VIC,Solar,0.2,-37.571336,144.890577
accredited,ACC_SRPYNS73,Bunnings Maitland - Solar - NSW,NSW,Solar,0.24,-32.810046,151.638577
accredited,ACC_SRPYNS41,Clean Peak Energy - Goulburn Marketplace - Solar - NSW,NSW,Solar,0.288,-34.207749,150.568528
accredited,ACC_SRPYNS71,Covenant Christian School - Solar - w SGU - NSW,NSW,Solar,0.181,-33.713284,151.215465
accredited,ACC_SRPYNS70,EWH Food Services Kingsgrove - Solar w SGU - NSW,NSW,Solar,0.325,-33.873754,151.209587
accredited,ACC_SRPXQLH7,Frasers Woolworths Liquor Warehouse- Solar w SGU - QLD,QLD,Solar,0.501,-27.541981,153.079185
accredited,ACC_SRPYNS75,"Scalabrini ""The Village"" Drummoyne - Solar w SGU - NSW",NSW,Solar,0.235,-33.873754,151.209587
accredited,ACC_SRPXNSX6,Woolworths Katoomba 1787 - Solar - NSW,NSW,Solar,0.275,-33.959374,150.798835
accredited,ACC_SRPXQLE1,Agile Energy - BWY - 200kW solar w SGU - QLD,QLD,Solar,0.2,-27.228019,153.036599
accredited,ACC_SRPXVCP0,Aussie Pride Produce - Solar W SGU - VIC,VIC,Solar,0.148,-36.250736,144.944329
accredited,ACC_SRPXVCO5,Campari - SOLAR w SGU – VIC,VIC,Solar,0.65,-37.814090,144.961318
accredited,ACC_SRPVSAW7,Chep Pallets - Solar - SA,SA,Solar,0.252,-34.847347,138.548115
accredited,ACC_SRPXQLF6,"Heidke St, Avoca - Solar w SGU - QLD",QLD,Solar,0.198,-24.865136,152.377896
accredited,ACC_SRPYNS82,HNELHD Tamworth - Solar - NSW,NSW,Solar,1.063,-31.556484,147.086076
accredited,ACC_SRPYNS79,ISLHD Shoalhaven Hospital - Solar - NSW,NSW,Solar,0.5,-31.556484,147.086076
accredited,ACC_SRPYNS60,Kingspan Insulated Panels Pty Limited - Solar w SGU - NSW,NSW,Solar,0.16,-33.873754,151.209587
accredited,ACC_SRPXQLE5,Ornatas Tasmanian Lobster Hatchery - Solar  - QLD,QLD,Solar,0.158,-27.410442,151.654836
accredited,ACC_WD00SA24,Goyder South Wind Farm 1B - Wind - SA,SA,Wind,195.693,-34.097735,139.155603
accredited,ACC_SRPYNS08,Agile Energy - ECB - 348kW Solar w SGU - NSW,NSW,Solar,0.348,-27.228019,153.036599
accredited,ACC_SRPVWAL0,ATCO Gas Australia Jandakot Microgrid - Solar - WA,WA,Solar,0.301,-32.017570,115.968672
accredited,ACC_SRPXQLH8,Caloundra NMI 3117361486 - Solar w SGU - QLD,QLD,Solar,0.348,-26.833924,152.965066
accredited,ACC_SRPVWAM6,City of Stirling (Administration Centre) – Solar w SGU - WA,WA,Solar,0.47,-31.950652,115.797876
accredited,ACC_SRPVNSY6,Concord Hospital - 313.2kW - Solar w SGU - NSW,NSW,Solar,0.314,-33.873754,151.209587
accredited,ACC_SRPXQLG1,CQFMS - Solar w SGU - QLD,QLD,Solar,0.307,-21.141607,149.186838
accredited,ACC_SRPYNS84,Mirvac Switchyards Building 2 - Solar w SGU - NSW,NSW,Solar,0.2,-33.873754,151.209587
accredited,ACC_SRPVSAW3,Seaford Central - Solar w SGU - SA,SA,Solar,0.465,-34.920631,138.603969
